SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE
Struthio camelus,Common Ostrich,ostric2
Struthio molybdophanes,Somali Ostrich,ostric3
Casuarius casuarius,Southern Cassowary,soucas1
Casuarius bennetti,Dwarf Cassowary,dwacas1
Casuarius unappendiculatus,Northern Cassowary,norcas1
Dromaius novaehollandiae,Emu,emu1
Apteryx australis,Southern Brown Kiwi,sobkiw1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1
Apteryx owenii,Little Spotted Kiwi,liskiw1
Apteryx maxima,Great Spotted Kiwi,grskiw1
Rhea americana,Greater Rhea,grerhe1
Rhea pennata,Lesser Rhea,lesrhe2
Tinamotis pentlandii,Puna Tinamou,puntin1
Tinamotis ingoufi,Patagonian Tinamou,pattin1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1
Eudromia elegans,Elegant Crested-Tinamou,elctin1
Taoniscus nanus,Dwarf Tinamou,dwatin1
Nothura boraquira,White-bellied Nothura,whbnot1
Nothura minor,Lesser Nothura,lesnot1
Nothura darwinii,Darwin's Nothura,darnot1
Nothura maculosa,Spotted Nothura,sponot1
Rhynchotus maculicollis,Huayco Tinamou,huatin1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1
Nothoprocta cinerascens,Brushland Tinamou,brutin1
Nothoprocta pentlandii,Andean Tinamou,andtin1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1
Nothoprocta ornata,Ornate Tinamou,orntin1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1
Nothoprocta perdicaria,Chilean Tinamou,chitin1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1
Nothocercus bonapartei,Highland Tinamou,higtin1
Tinamus major,Great Tinamou,gretin1
Tinamus solitarius,Solitary Tinamou,soltin1
Tinamus tao,Gray Tinamou,grytin1
Tinamus guttatus,White-throated Tinamou,whttin1
Tinamus osgoodi,Black Tinamou,blatin1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1
Crypturellus cinereus,Cinereous Tinamou,cintin1
Crypturellus ptaritepui,Tepui Tinamou,teptin1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1
Crypturellus tataupa,Tataupa Tinamou,tattin1
Crypturellus obsoletus,Brown Tinamou,brotin1
Crypturellus variegatus,Variegated Tinamou,vartin1
Crypturellus bartletti,Bartlett's Tinamou,bartin2
Crypturellus casiquiare,Barred Tinamou,bartin1
Crypturellus brevirostris,Rusty Tinamou,rustin1
Crypturellus soui,Little Tinamou,littin1
Crypturellus undulatus,Undulated Tinamou,undtin1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1
Crypturellus kerriae,Choco Tinamou,chotin1
Crypturellus erythropus,Red-legged Tinamou,reltin1
Crypturellus duidae,Gray-legged Tinamou,gyltin1
Crypturellus strigulosus,Brazilian Tinamou,bratin1
Anhima cornuta,Horned Screamer,horscr1
Chauna torquata,Southern Screamer,souscr1
Chauna chavaria,Northern Screamer,norscr1
Anseranas semipalmata,Magpie Goose,maggoo1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1
Thalassornis leuconotus,White-backed Duck,whbduc1
Anser indicus,Bar-headed Goose,bahgoo
Anser canagicus,Emperor Goose,empgoo
Anser caerulescens,Snow Goose,snogoo
Anser rossii,Ross's Goose,rosgoo
Anser anser,Graylag Goose,gragoo
Anser cygnoides,Swan Goose,swagoo1
Anser albifrons,Greater White-fronted Goose,gwfgoo
Anser erythropus,Lesser White-fronted Goose,lwfgoo
Anser fabalis,Taiga Bean-Goose,taibeg1
Anser serrirostris,Tundra Bean-Goose,tunbeg1
Anser brachyrhynchus,Pink-footed Goose,pifgoo
Branta bernicla,Brant,brant
Branta leucopsis,Barnacle Goose,bargoo
Branta hutchinsii,Cackling Goose,cacgoo1
Branta canadensis,Canada Goose,cangoo
Branta sandvicensis,Hawaiian Goose,hawgoo
Branta ruficollis,Red-breasted Goose,rebgoo1
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1
Stictonetta naevosa,Freckled Duck,freduc1
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1
Cygnus olor,Mute Swan,mutswa
Cygnus atratus,Black Swan,blkswa
Cygnus melancoryphus,Black-necked Swan,blnswa2
Cygnus buccinator,Trumpeter Swan,truswa
Cygnus columbianus,Tundra Swan,tunswa
Cygnus cygnus,Whooper Swan,whoswa
Coscoroba coscoroba,Coscoroba Swan,cosswa1
Sarkidiornis melanotos,Knob-billed Duck,comduc2
Sarkidiornis sylvicola,Comb Duck,comduc3
Pteronetta hartlaubii,Hartlaub's Duck,harduc1
Oressochen jubatus,Orinoco Goose,origoo1
Oressochen melanopterus,Andean Goose,andgoo1
Chloephaga picta,Upland Goose,uplgoo1
Chloephaga hybrida,Kelp Goose,kelgoo1
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1
Radjah radjah,Radjah Shelduck,radshe1
Alopochen aegyptiaca,Egyptian Goose,egygoo
Alopochen mauritiana,Mauritius Shelduck,maushe1
Alopochen kervazoi,Reunion Shelduck,reushe1
Tadorna ferruginea,Ruddy Shelduck,rudshe
Tadorna cana,South African Shelduck,soashe1
Tadorna tadornoides,Australian Shelduck,ausshe1
Tadorna variegata,Paradise Shelduck,parshe1
Tadorna tadorna,Common Shelduck,comshe
Tadorna cristata,Crested Shelduck,creshe1
Plectropterus gambensis,Spur-winged Goose,spwgoo1
Tachyeres patachonicus,Flying Steamer-Duck,flystd1
Tachyeres pteneres,Flightless Steamer-Duck,flistd1
Tachyeres brachypterus,Falkland Steamer-Duck,falstd1
Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1
Lophonetta specularioides,Crested Duck,creduc1
Speculanas specularis,Spectacled Duck,speduc2
Cairina moschata,Muscovy Duck,musduc
Nettapus pulchellus,Green Pygmy-Goose,grnpyg1
Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1
Nettapus auritus,African Pygmy-Goose,afrpyg1
Callonetta leucophrys,Ringed Teal,rintea1
Aix sponsa,Wood Duck,wooduc
Aix galericulata,Mandarin Duck,manduc
Chenonetta jubata,Maned Duck,manduc1
Chenonetta finschi,Finsch's Duck,finduc1
Amazonetta brasiliensis,Brazilian Teal,bratea1
Hymenolaimus malacorhynchos,Blue Duck,bluduc1
Merganetta armata,Torrent Duck,torduc1
Salvadorina waigiuensis,Salvadori's Teal,saltea1
Sibirionetta formosa,Baikal Teal,baitea
Spatula querquedula,Garganey,gargan
Spatula hottentota,Blue-billed Teal,hottea1
Spatula versicolor,Silver Teal,siltea1
Spatula puna,Puna Teal,puntea1
Spatula discors,Blue-winged Teal,buwtea
Spatula cyanoptera,Cinnamon Teal,cintea
Spatula platalea,Red Shoveler,redsho1
Spatula smithii,Cape Shoveler,capsho1
Spatula rhynchotis,Australasian Shoveler,aussho1
Spatula clypeata,Northern Shoveler,norsho
Mareca strepera,Gadwall,gadwal
Mareca falcata,Falcated Duck,falduc
Mareca penelope,Eurasian Wigeon,eurwig
Mareca americana,American Wigeon,amewig
Mareca sibilatrix,Chiloe Wigeon,chiwig1
Mareca marecula,Amsterdam Duck,amsduc1
Anas sparsa,African Black Duck,afbduc1
Anas undulata,Yellow-billed Duck,yebduc1
Anas melleri,Meller's Duck,melduc1
Anas superciliosa,Pacific Black Duck,pabduc1
Anas laysanensis,Laysan Duck,layduc
Anas wyvilliana,Hawaiian Duck,hawduc
Anas luzonica,Philippine Duck,phiduc1
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1
Anas zonorhyncha,Eastern Spot-billed Duck,spbduc
Anas platyrhynchos,Mallard,mallar3
Anas diazi,Mexican Duck,mexduc
Anas rubripes,American Black Duck,ambduc
Anas fulvigula,Mottled Duck,motduc
Anas capensis,Cape Teal,captea1
Anas bahamensis,White-cheeked Pintail,whcpin
Anas erythrorhyncha,Red-billed Duck,rebduc1
Anas acuta,Northern Pintail,norpin
Anas eatoni,Eaton's Pintail,eatpin1
Anas georgica,Yellow-billed Pintail,yebpin1
Anas crecca,Green-winged Teal,gnwtea
Anas andium,Andean Teal,spetea3
Anas flavirostris,Yellow-billed Teal,yebtea1
Anas theodori,Mauritius Duck,mauduc1
Anas albogularis,Andaman Teal,andtea1
Anas gibberifrons,Sunda Teal,suntea1
Anas gracilis,Gray Teal,gretea1
Anas castanea,Chestnut Teal,chetea1
Anas bernieri,Bernier's Teal,bertea1
Anas aucklandica,Auckland Islands Teal,auitea1
Anas nesiotis,Campbell Islands Teal,caitea1
Anas chlorotis,Brown Teal,brotea1
Malacorhynchus membranaceus,Pink-eared Duck,pieduc1
Marmaronetta angustirostris,Marbled Duck,martea1
Rhodonessa caryophyllacea,Pink-headed Duck,pihduc1
Asarcornis scutulata,White-winged Duck,whwduc1
Netta rufina,Red-crested Pochard,recpoc
