comName,speciesCode,exotic
Black Swan,blkswa,y
Ruddy Shelduck,rudshe,y
Ringed Teal,rintea1,y
Mandarin Duck,manduc,y
White-cheeked Pintail,whcpin,y
Red-crested Pochard,recpoc,y
Common Quail,comqua1,y
American Flamingo,grefla2,y
Savanna Hawk,savhaw1,y
Keel-billed Toucan,kebtou1,y
Sulphur-crested Cockatoo,succoc,y
Rose-ringed Parakeet,rorpar,y
Crimson Rosella,criros2,y
Gray Parrot,grepar,y
White-winged Parakeet,whwpar,y
Yellow-chevroned Parakeet,yecpar,y
Yellow-crowned Amazon,ywcpar,y
Sun Parakeet,sunpar1,y
Jandaya Parakeet,janpar1,y
Military Macaw,milmac,y
Scarlet Macaw,scamac1,y
Blue-crowned Parakeet,bucpar,y
Green Parakeet,grnpar,y
Mitred Parakeet,mitpar,y
Red-masked Parakeet,rempar,y
White-throated Magpie-Jay,wtmjay1,y
Yellow-billed Magpie,yebmag,y
Pied Crow,piecro1,y
White-eared Bulbul,whebul1,y
Indian White-eye,indwhe1,y
Common Hill Myna,hilmyn,y
Northern Red Bishop,orabis1,y
Zebra Finch,zebfin2,y
Gouldian Finch,goufin3,y
Orange-cheeked Waxbill,orcwax,y
Green-winged Pytilia,grwpyt1,y
Red-billed Firefinch,rebfir2,y
African Firefinch,afffin,y
Pin-tailed Whydah,pitwhy,y
Broad-tailed Paradise-Whydah,btpwhy1,y
Yellow-fronted Canary,yefcan,y
European Goldfinch,eurgol,y
Venezuelan Troupial,ventro1,y
Black-backed Oriole,blbori1,y
Saffron Finch,saffin,y
Grassland Yellow-Finch,gryfin1,y
Parrot-billed Seedeater,pabsee1,y
African Collared-Dove,,y
Monk Parakeet,,y
Black-throated Magpie-Jay,,y
Muscovy Duck,,y
Budgerigar,,y
Emu,,y
Graylag Goose,,y
Barnacle Goose,,y
Swan Goose,,y
Hawaiian Goose,,y
Red-breasted Goose,,y
Mute Swan,,y
Black-necked Swan,,y
Upland Goose,,y
Egyptian Goose,,y
South African Shelduck,,y
Emu,,y
Bar-headed Goose,,y
Graylag Goose,,y
Swan Goose,,y
Barnacle Goose,,y
Hawaiian Goose,,y
Red-breasted Goose,,y
Mute Swan,,y
Black-necked Swan,,y
Upland Goose,,y
Egyptian Goose,,y
South African Shelduck,,y
Common Shelduck,,y
Crested Duck,,y
Muscovy Duck,,y
Chiloe Wigeon,,y
Helmeted Guineafowl,,y
White-tailed Ptarmigan,,y
Gray Partridge,,y
Reeves's Pheasant,,y
Golden Pheasant,,y
Lady Amherst's Pheasant,,y
Green Pheasant,,y
Kalij Pheasant,,y
Silver Pheasant,,y
Indian Peafowl,,y
Gray Peacock-Pheasant,,y
Red Junglefowl,,y
Black Francolin,,y
Japanese Quail,,y
Speckled Pigeon,,y
Oriental Turtle-Dove,,y
Ring-necked Dove,,y
Spotted Dove,,y
Laughing Dove,,y
Namaqua Dove,,y
Diamond Dove,,y
Zebra Dove,,y
Gray Go-away-bird,,y
White-cheeked Turaco,,y
Gray Crowned-Crane,,y
Demoiselle Crane,,y
Spur-winged Lapwing,,y
Chilean Flamingo,,y
Greater Flamingo,,y
Lesser Flamingo,,y
African Darter,,y
African Sacred Ibis,,y
Pink-backed Pelican,,y
Oriental Pied-Hornbill,,y
Lilac-breasted Roller,,y
Cockatiel,,y
Alexandrine Parakeet,,y
Bourke's Parrot,,y
Budgerigar,,y
Rainbow Lorikeet,,y
Rosy-faced Lovebird,,y
Fischer's Lovebird,,y
Yellow-collared Lovebird,,y
Meyer's Parrot,,y
Scaly-headed Parrot,,y
Red-crowned Amazon,,y
Lilac-crowned Amazon,,y
Red-lored Amazon,,y
Yellow-headed Amazon,,y
Turquoise-fronted Amazon,,y
White-fronted Amazon,,y
Mealy Amazon,,y
Orange-winged Amazon,,y
Pacific Parrotlet,,y
Maroon-bellied Parakeet,,y
Black-capped Parakeet,,y
Burrowing Parakeet,,y
Hyacinth Macaw,,y
Orange-fronted Parakeet,,y
Nanday Parakeet,,y
Blue-and-yellow Macaw,,y
Red-and-green Macaw,,y
White-eyed Parakeet,,y
Asian Tit,,y
Vinous-throated Parrotbill,,y
Swinhoe's White-eye,,y
Red-billed Leiothrix,,y
Bali Myna,,y
Brahminy Starling,,y
Common Myna,,y
Crested Myna,,y
Purple Starling,,y
Eurasian Blackbird,,y
Golden-fronted Leafbird,,y
Golden Palm Weaver,,y
Taveta Golden-Weaver,,y
Southern Masked-Weaver,,y
Village Weaver,,y
Black-headed Weaver,,y
Southern Red Bishop,,y
Zanzibar Red Bishop,,y
Black-winged Bishop,,y
Yellow-crowned Bishop,,y
White-winged Widowbird,,y
Diamond Firetail,,y
Red-browed Firetail,,y
Double-barred Finch,,y
Bronze Mannikin,,y
Indian Silverbill,,y
Scaly-breasted Munia,,y
White-rumped Munia,,y
Tricolored Munia,,y
Chestnut Munia,,y
White-headed Munia,,y
Common Waxbill,,y
Black-rumped Waxbill,,y
Crimson-rumped Waxbill,,y
Cut-throat,,y
Zebra Waxbill,,y
Red Avadavat,,y
Red-cheeked Cordonbleu,,y
Blue-capped Cordonbleu,,y
Red-throated Twinspot,,y
Togo Paradise-Whydah,,y
Village Indigobird,,y
Eurasian Tree Sparrow,,y
Sudan Golden Sparrow,,y
White-rumped Seedeater,,y
Black-throated Canary,,y
Streaky Seedeater,,y
European Serin,,y
Island Canary,,y
Black Siskin,,y
Epaulet Oriole,,y
Orange-breasted Bunting,,y
Red-crested Cardinal,,y
Yellow-billed Cardinal,,y
White-lined Tanager,,y
Blue-gray Tanager,,y
Blue Dacnis,,y
Blue-black Grassquit,,y
Cinnamon-rumped Seedeater,,y
Yellow-faced Grassquit,,y
Greater Rhea,,y
Lesser Rhea,,y
Chilean Tinamou,,y
Magpie Goose,,y
Plumed Whistling-Duck,,y
White-faced Whistling-Duck,wfwduc1,y
West Indian Whistling-Duck,wiwduc1,y
Blue-winged Goose,,y
Coscoroba Swan,,y
Orinoco Goose,,y
Radjah Shelduck,,y
Paradise Shelduck,,y
Maned Duck,,y
Blue-billed Teal,,y
Silver Teal,,y
Laysan Duck,,y
Hawaiian Duck,,y
Eastern Spot-billed Duck,,y
Yellow-billed Pintail,,y
Chestnut Teal,,y
Southern Pochard,,y
Rosy-billed Pochard,,y
Ferruginous Duck,,y
Baer's Pochard,,y
Labrador Duck,,y
Green Peafowl,,y
Gray Francolin,,y
Blue-breasted Quail,,y
Red-legged Partridge,,y
Erckel's Spurfowl,,y
Scaly-naped Pigeon,,y
Passenger Pigeon,,y
Chestnut-bellied Sandgrouse,,y
Gray Nightjar,,y
Yellow-headed Caracara,,y
Eurasian Magpie,,y
House Crow,,y
Eurasian Blue Tit,,y
Red-whiskered Bulbul,,y
